Time,Pitch (Sim),Pitch (Real),,,
0,0.1222101359,0,,Rise Time (s),
0.11,0.1490326429,0.44,,Sim,0.9
0.33,0.1210416123,-1.12,,Real,0.82
0.38,0.04201070716,-1.44,,,
0.44,-0.1311491636,-1.5,,Settling Time (s),
0.49,-0.1613661299,-1.25,,Sim,3.97
0.55,-0.01770841647,-0.88,,Real,2.76
0.6,0.5092549609,-0.37,,,
0.66,0.7927041198,-0.06,,,
0.71,0.9345799873,-0.06,,,
0.77,0.631533444,-0.31,,,
0.88,0.2197127493,-1.31,,,
0.93,-0.2680119667,-1.69,,,
0.99,-0.747751782,-1.87,,,
1.15,-0.6886298072,-1.87,,,
1.32,-0.4289750819,-1.12,,,
1.37,0.5486873609,-0.88,,,
1.48,1.034440641,-0.31,,,
1.54,1.355994777,-0.13,,,
1.59,1.405041031,-0.06,,,
1.65,1.09015526,-0.06,,,
1.7,0.6560073575,0,,,
1.76,-0.3586266151,0.06,,,
1.81,-0.6027455535,0.13,,,
1.87,-0.6463536956,0.06,,,
1.92,-0.4703246693,-0.13,,,
1.98,0.2042285452,-0.44,,,
2.03,0.7155326458,-0.69,,,
2.09,1.030574697,-0.81,,,
2.14,1.15474253,-0.62,,,
2.2,0.916068255,-0.44,,,
2.25,0.4066008489,-0.06,,,
2.31,-0.05726212265,0.13,,,
2.69,-0.4098495513,0.94,,,
2.75,-0.2492762617,1,,,
2.8,0.1743314387,0.94,,,
2.86,0.9031613878,0.56,,,
2.91,1.106740596,0,,,
2.97,1.110814049,-0.31,,,
3.02,0.5505232181,-0.5,,,
3.08,0.02874882459,-0.31,,,
3.13,-0.547740581,0,,,
3.19,-1.017756558,0.31,,,
3.24,-0.9519906365,0.62,,,
3.3,-0.6856810302,0.94,,,
3.35,-0.2210091294,1.19,,,
3.41,0.5645480608,1.44,,,
3.46,0.6607573786,1.62,,,
3.52,0.5590674516,1.69,,,
3.57,-0.2018218545,1.62,,,
3.85,-0.7031272382,0,,,
3.9,-1.004441234,-0.25,,,
3.96,-1.04110396,-0.44,,,
4.01,-0.4953727577,-0.62,,,
4.07,-0.02800785615,-0.75,,,
4.12,0.5203696052,-0.75,,,
4.18,1.113315042,-0.69,,,
4.23,1.111646004,-0.5,,,
4.29,0.8785387099,-0.13,,,
4.34,0.1921040822,0.25,,,
4.4,-0.2014315608,0.69,,,
4.45,-0.5005093233,0.88,,,
4.51,-0.3850406565,0.69,,,
4.56,0.01267102338,0.25,,,
4.67,0.5514616386,-0.62,,,
4.73,1.114378283,-1.06,,,
4.95,1.119888165,-1.12,,,
5,0.8618778953,-1,,,
5.06,0.4849827908,-0.81,,,
5.11,-0.1196930229,-0.62,,,
5.17,-0.1620992916,-0.37,,,
5.22,0.005839960529,-0.19,,,
5.28,0.7553689552,0,,,
5.33,1.232236555,0.19,,,
5.39,1.514018783,0.37,,,
5.44,1.588209999,0.44,,,
5.5,1.07016259,0.31,,,
5.55,0.5321886244,0,,,
5.61,-0.2187589855,-0.25,,,
5.66,-0.729871749,-0.56,,,
5.72,-1.043074182,-0.94,,,
5.83,-0.9363538532,-1.31,,,
5.94,-0.1213445114,-1.37,,,
5.99,0.5721557914,-1.31,,,
6.1,1.270578384,-1,,,
6.16,2.202047975,-0.62,,,
6.21,2.330528103,-0.19,,,
6.27,2.282792256,0.19,,,
6.32,1.637628308,0.56,,,
6.38,1.116912245,0.75,,,
6.43,0.5923513403,0.56,,,
6.49,0.2209434322,0,,,
6.54,0.1671019097,-0.5,,,
6.6,0.5196583126,-1.06,,,
6.65,0.9258319448,-1.5,,,
6.71,1.57796646,-1.69,,,
6.76,1.542715089,-2,,,
6.82,1.284934657,-2.25,,,
6.87,-11.42748685,-2.5,,,
7.31,-13.00446957,-12,,,
7.37,-14.08582896,-13.25,,,
7.42,-14.83346566,-14.44,,,
7.48,-15.91306689,-15.88,,,
7.53,-17.25082585,-16.94,,,
7.59,-18.50670653,-18.19,,,
7.64,-18.86069211,-19,,,
7.7,-19.33652903,-19.87,,,
7.75,-19.9912869,-20.56,,,
7.81,-21.38766488,-21.25,,,
7.86,-21.92448524,-22,,,
7.92,-22.18462592,-22.69,,,
7.97,-22.17839541,-23.25,,,
8.03,-22.06227505,-23.62,,,
8.25,-22.58916568,-24.44,,,
8.3,-23.34621386,-24.81,,,
8.41,-24.0287977,-25.44,,,
8.47,-24.87286212,-25.62,,,
8.52,-24.96385212,-25.75,,,
8.58,-24.87400294,-25.81,,,
8.63,-24.2067576,-25.87,,,
9.12,-25.0993953,-25.37,,,
9.17,-22.09201939,-21.44,,,
9.23,-21.49313499,-15.75,,,
9.54,-6.562334123,-10.63,,,
9.94,-0.4265082067,-2.25,,,
10.02,1.024879093,-0.94,,,
10.28,2.317576955,-0.06,,,
10.43,2.832087225,-1.69,,,
10.59,2.7857543,-0.44,,,
10.74,1.04576456,0.56,,,
11,-1.002309402,0.88,,,
11.05,-1.004101239,0.69,,,
11.11,-1.407662504,0.31,,,
11.16,-1.25987492,-0.06,,,
11.22,-1.016631805,-0.13,,,
11.27,-0.5315449432,0.13,,,
11.33,-0.2558540304,0.69,,,
11.38,-0.008381792787,1.5,,,
11.44,0.7212404523,2,,,
11.49,0.8537963715,2.19,,,
11.88,1.191168902,-0.06,,,
11.93,1.004361542,0.25,,,
11.99,-0.0198084579,0.56,,,
12.04,-0.02885335285,0.75,,,
12.1,0.08497255414,0.94,,,
12.15,0.07655574661,1,,,
12.21,-0.1104935656,1,,,
12.26,-0.9208823827,0.94,,,
12.32,-1.301581263,0.81,,,
12.37,-1.500465228,0.75,,,
12.43,-1.267831507,0.56,,,
12.48,-0.7377616883,0.44,,,
12.54,-0.2015431898,0.31,,,
12.59,0.3580938646,0.31,,,
12.65,0.9650372216,0.44,,,
12.87,0.2572176376,0.62,,,
13.09,0.03973257392,0.94,,,
13.14,-0.009545447458,0.75,,,
13.2,-0.4816817315,0.37,,,
13.25,-0.8296301147,0,,,
13.31,-0.9129264525,-0.31,,,
13.36,-0.667222075,-0.44,,,
13.42,-0.2120823933,-0.37,,,
13.47,0.3331743804,-0.06,,,
13.53,1.123486673,0.37,,,
13.58,1.191047918,0.88,,,
13.64,1.123412943,1.25,,,
13.69,0.2381268333,1.5,,,
13.75,-0.3749637585,1.44,,,
13.8,-0.8373778336,1.25,,,
14.19,-1.070739488,0.94,,,
14.24,-0.8748852437,1.25,,,
14.3,-0.4927406331,1.44,,,
14.35,0.3911667487,1.5,,,
14.41,0.6645475197,1.5,,,
14.46,0.7001803412,1.44,,,
14.52,0.5489131476,1.37,,,
14.57,-0.1871952197,1.31,,,
14.63,-0.6414292983,1.12,,,
14.68,-0.9264174538,0.81,,,
14.74,-0.9005868364,0.62,,,
14.79,-0.5868716596,0.44,,,
14.85,-0.01564830282,0.37,,,
14.9,1.060273827,0.31,,,
14.96,1.276755259,0.37,,,
15.34,-0.3268209808,0.88,,,
15.4,-0.779396985,0.37,,,
15.45,-0.8767772363,-0.13,,,
15.51,-0.9269221468,-0.56,,,
15.56,-1.498690235,-0.75,,,
15.62,-1.709707434,-0.62,,,
15.67,-1.701929575,-0.44,,,
15.73,-1.502913097,-0.13,,,
15.78,-0.7242309039,0.06,,,
15.84,-0.2185614618,0.25,,,
15.89,-0.02541451299,0.31,,,
15.95,-0.1777496936,0.25,,,
16,-0.545290257,0.31,,,
16.06,-1.060060483,0.44,,,
16.11,-1.561073118,0.62,,,
16.22,-1.536217165,0.69,,,
16.5,-0.3109664434,-0.62,,,
16.55,-0.1202304397,-1.19,,,